timestamp,query
2025-05-06 01:50:23,Echoes of Tomorrow
2025-05-06 01:52:33,imagine
2025-05-06 02:04:47,imagine
2025-05-06 02:04:55,alice
2025-05-06 02:08:43,alice
2025-05-06 02:10:05,a lonely violin
2025-05-06 02:11:03, A Lonely Violin\\
2025-05-06 02:11:23,Adream
2025-05-06 02:11:29,A dream
2025-05-06 02:12:26,A Little Melancholy
2025-05-06 02:30:20,shape of you
2025-05-06 02:30:27,shape of you
2025-05-06 02:30:34,Shape of you
2025-05-06 02:37:32,cheap thrills
2025-05-06 02:37:46,lover
2025-05-06 02:39:50,Harmonic Resonance
2025-05-06 02:39:56,Melodic Mirage
2025-05-06 02:43:03,Adream
2025-05-06 05:38:27,Echoes of Tomorrow
2025-05-06 10:43:36,die with a smile
